AMEX60DD040068	NECAB1[nr]
AMEX60DD040231	NCALD
AMEX60DD040394	ENPP2[nr]
AMEX60DD041912	SLC1A3
AMEX60DD041991	SELENOP
AMEX60DD042152	ANKRD55
AMEX60DD042172	PLK2
AMEX60DD042310	BHMT
AMEX60DD042341	CRHBP
AMEX60DD042580	NR2F1
AMEX60DD042610	GLRX
AMEX60DD042749	Nrep
AMEX60DD043068	CTSL
AMEX60DD043161	TRPM3
AMEX60DD043225	Lamb1
AMEX60DD043243	HNRNPK
AMEX60DD043470	NFIB
AMEX60DD043789	JUND
AMEX60DD044083	SNCA
AMEX60DD044272	H2AZ1
AMEX60DD044302	EGF
AMEX60DD044795	UGT8
AMEX60DD044899	CCNA2
AMEX60DD044904	ANXA5
AMEX60DD045181	FSTL5
AMEX60DD045225	CPE
AMEX60DD045417	FAM149A
AMEX60DD045467	ZDHHC2
AMEX60DD045792	SLIT2
AMEX60DD045830	FGFBP1
AMEX60DD046226	GFRA4
AMEX60DD046262	VAX2
AMEX60DD046377	NEFL
AMEX60DD046907	CASR
AMEX60DD046910	CSTB
AMEX60DD046943	FSTL1
AMEX60DD047001	GAP43
AMEX60DD047033	QRSL1
AMEX60DD047308	OLIG1
AMEX60DD047350	TIAM1
AMEX60DD047429	NCAM2
AMEX60DD047487	ROBO2
AMEX60DD047873	COL4A1
AMEX60DD047894	SOX1
AMEX60DD048179	ZIC2
AMEX60DD048309	PROS1
AMEX60DD048405	ARX
AMEX60DD048505	EGFL6
AMEX60DD048805	EDNRB
AMEX60DD049210	DCLK1
AMEX60DD049227	KL
AMEX60DD049364	GJB2
AMEX60DD049568	HEPHL1
AMEX60DD049625	GRM5
AMEX60DD049907	RRM1[hs]
AMEX60DD050296	SET
AMEX60DD050417	RPS12
AMEX60DD050490	ANGPTL2
AMEX60DD050778	LHX6
AMEX60DD050822	TNC
AMEX60DD050853	GLUL
AMEX60DD051351	HES5
AMEX60DD051365	PRDM16
AMEX60DD051666	SPOCK2
AMEX60DD051983	GLUD1
AMEX60DD052006	RGR
AMEX60DD052070	C1QB
AMEX60DD052283	ADAM8
AMEX60DD052412	CXCL12
AMEX60DD052517	ACTA2
AMEX60DD052557	ANKRD1
AMEX60DD052589	FGFBP3
AMEX60DD052620	RBP4
AMEX60DD052999	INA
AMEX60DD053837	MFRP
AMEX60DD054765	CENPV
AMEX60DD055073	FZD5
AMEX60DD055165	COL3A1
AMEX60DD055219	TMEFF2
AMEX60DD055420	FN1
AMEX60DD055538	COL6A2
AMEX60DD055540	COL6A1
AMEX60DD055622	CHN1
AMEX60DD055654	GAD1
AMEX60DD055671	DLX2
AMEX60DD055778	SLC4A10
AMEX60DD055781	TBR1
AMEX60DD055974	TMEM163
AMEX60DD056035	DBI
AMEX60DD056219	IGFBP5
AMEX60DDU001000340	VAMP1
AMEX60DDU001002594	TGFBI
AMEX60DDU001003554	ATF3
AMEX60DDU001004179	FAM167A
AMEX60DDU001006420	TNFRSF19
AMEX60DDU001007323	OLFM2
