order	Color
2DPI_rep1	#FFEFD5
2DPI_rep2	#FFE4E1
2DPI_rep3	#FFDEAD
5DPI_rep1	#9F79EE
5DPI_rep2	#9B30FF
5DPI_rep3	#9A32CD
10DPI_rep1	#8B5A00
10DPI_rep2	#8B3E2F
10DPI_rep4	#8B1A1A
15DPI_rep2	#00FA9A
15DPI_rep3	#00EE00
15DPI_rep4	#00CD66
15DPI_C	#00CD00
20DPI_rep1	#FFAEB9
20DPI_rep2	#FF8247
20DPI_rep3	#FF6347
30DPI_rep2	#27408B
60DPI_rep3	#EE0000
